episodio,seed,balance_final,pnl,retorno_pct,max_drawdown_pct,num_pasos,num_operaciones
1,42,0.9941558056884492,-0.00584419431155081,-0.584419431155081,-0.9551825516427526,180,16
2,43,0.992849134942668,-0.007150865057331979,-0.7150865057331979,-0.9111821522195362,180,11
3,44,0.9822425143341184,-0.017757485665881645,-1.7757485665881645,-2.0940167299600243,180,15
4,45,0.989229980076153,-0.010770019923846963,-1.0770019923846963,-1.3776095590218085,180,18
5,46,0.9843974217307682,-0.015602578269231837,-1.5602578269231837,-1.685313331896987,180,21
6,47,0.9887011603201491,-0.011298839679850903,-1.1298839679850903,-1.1813894838365369,180,11
7,48,0.9735094096364983,-0.026490590363501654,-2.6490590363501654,-2.7160547875398455,180,11
8,49,0.9969611898257941,-0.0030388101742059304,-0.30388101742059304,-0.6071204886532344,180,17
9,50,1.0027424123722046,0.002742412372204628,0.2742412372204628,-0.973087139503559,180,19
10,51,0.9921551204592236,-0.007844879540776395,-0.7844879540776395,-0.7848191434377316,180,16
