episodio,seed,balance_final,pnl,retorno_pct,max_drawdown_pct,num_pasos,num_operaciones
1,42,1.012531668434743,0.01253166843474296,1.253166843474296,-1.300386392442121,90,7
2,43,0.979646842043863,-0.020353157956137014,-2.0353157956137014,-2.9959040092291334,90,8
3,44,0.9776853492854382,-0.022314650714561846,-2.2314650714561846,-2.2314650714561846,90,8
4,45,1.0167203216440175,0.01672032164401749,1.6720321644017488,-2.9628220138611994,90,16
5,46,1.0008995199772057,0.0008995199772057205,0.08995199772057205,-1.7549766390916544,90,10
6,47,1.0091407980338534,0.00914079803385337,0.914079803385337,-2.724862957823704,90,7
7,48,1.0312378428644609,0.031237842864460852,3.123784286446085,-3.9173542433627473,90,14
8,49,0.9890124176346329,-0.010987582365367121,-1.0987582365367121,-1.2020343953488721,90,6
9,50,1.026367850195029,0.026367850195029074,2.6367850195029074,-2.86857695345647,90,11
10,51,0.9841896367429983,-0.01581036325700169,-1.5810363257001692,-3.38073459452225,90,7
